value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,area,area_label,time,time_label,unit
5196,10,価格,0020,価格,01001,"1001 うるち米(単一原料米,「コシヒカリ」)",01100,札幌市,2026000404,2026年4月,円
5342,10,価格,0020,価格,01001,"1001 うるち米(単一原料米,「コシヒカリ」)",01100,札幌市,2026000303,2026年3月,円
5344,10,価格,0020,価格,01001,"1001 うるち米(単一原料米,「コシヒカリ」)",01100,札幌市,2026000202,2026年2月,円
5340,10,価格,0020,価格,01001,"1001 うるち米(単一原料米,「コシヒカリ」)",01100,札幌市,2026000101,2026年1月,円
5409,10,価格,0020,価格,01001,"1001 うるち米(単一原料米,「コシヒカリ」)",01100,札幌市,2025001212,2025年12月,円
5021,10,価格,0020,価格,01001,"1001 うるち米(単一原料米,「コシヒカリ」)",01100,札幌市,2025001111,2025年11月,円
5008,10,価格,0020,価格,01001,"1001 うるち米(単一原料米,「コシヒカリ」)",01100,札幌市,2025001010,2025年10月,円
4353,10,価格,0020,価格,01001,"1001 うるち米(単一原料米,「コシヒカリ」)",01100,札幌市,2025000909,2025年9月,円
4353,10,価格,0020,価格,01001,"1001 うるち米(単一原料米,「コシヒカリ」)",01100,札幌市,2025000808,2025年8月,円
4353,10,価格,0020,価格,01001,"1001 うるち米(単一原料米,「コシヒカリ」)",01100,札幌市,2025000707,2025年7月,円
4353,10,価格,0020,価格,01001,"1001 うるち米(単一原料米,「コシヒカリ」)",01100,札幌市,2025000606,2025年6月,円
4335,10,価格,0020,価格,01001,"1001 うるち米(単一原料米,「コシヒカリ」)",01100,札幌市,2025000505,2025年5月,円
4308,10,価格,0020,価格,01001,"1001 うるち米(単一原料米,「コシヒカリ」)",01100,札幌市,2025000404,2025年4月,円
4221,10,価格,0020,価格,01001,"1001 うるち米(単一原料米,「コシヒカリ」)",01100,札幌市,2025000303,2025年3月,円
3948,10,価格,0020,価格,01001,"1001 うるち米(単一原料米,「コシヒカリ」)",01100,札幌市,2025000202,2025年2月,円
3948,10,価格,0020,価格,01001,"1001 うるち米(単一原料米,「コシヒカリ」)",01100,札幌市,2025000101,2025年1月,円
